SiteName,Sector,Latitude,Longitude,Azimuth
YGN-Main-Tower-01,YGN-SEC-A,16.8667,96.1500,0
YGN-Main-Tower-01,YGN-SEC-B,16.8667,96.1500,120
YGN-Main-Tower-01,YGN-SEC-C,16.8667,96.1500,240
YGN-Main-Tower-02,YGN-SEC-A,16.8750,96.1650,30
YGN-Main-Tower-02,YGN-SEC-B,16.8750,96.1650,150
YGN-Main-Tower-02,YGN-SEC-C,16.8750,96.1650,270
YGN-Main-Tower-03,YGN-SEC-A,16.8500,96.1400,60
YGN-Main-Tower-03,YGN-SEC-B,16.8500,96.1400,180
YGN-Main-Tower-03,YGN-SEC-C,16.8500,96.1400,300
YGN-Main-Tower-04,YGN-SEC-A,16.8420,96.1700,45
YGN-Main-Tower-04,YGN-SEC-B,16.8420,96.1700,165
YGN-Main-Tower-04,YGN-SEC-C,16.8420,96.1700,285
YGN-Main-Tower-05,YGN-SEC-A,16.8580,96.1550,10
YGN-Main-Tower-05,YGN-SEC-B,16.8580,96.1550,130
YGN-Main-Tower-05,YGN-SEC-C,16.8580,96.1550,250
YGN-Main-Tower-06,YGN-SEC-A,16.8350,96.1450,80
YGN-Main-Tower-06,YGN-SEC-B,16.8350,96.1450,200
YGN-Main-Tower-06,YGN-SEC-C,16.8350,96.1450,320
YGN-Main-Tower-07,YGN-SEC-A,16.8720,96.1300,15
YGN-Main-Tower-07,YGN-SEC-B,16.8720,96.1300,135
YGN-Main-Tower-07,YGN-SEC-C,16.8720,96.1300,255
YGN-Main-Tower-08,YGN-SEC-A,16.8600,96.1800,50
YGN-Main-Tower-08,YGN-SEC-B,16.8600,96.1800,170
YGN-Main-Tower-08,YGN-SEC-C,16.8600,96.1800,290
YGN-Main-Tower-09,YGN-SEC-A,16.8450,96.1250,0
YGN-Main-Tower-09,YGN-SEC-B,16.8450,96.1250,120
YGN-Main-Tower-09,YGN-SEC-C,16.8450,96.1250,240
YGN-Main-Tower-10,YGN-SEC-A,16.8710,96.1550,90
YGN-Main-Tower-10,YGN-SEC-B,16.8710,96.1550,210
YGN-Main-Tower-10,YGN-SEC-C,16.8710,96.1550,330
YGN-Main-Tower-11,YGN-SEC-A,16.8380,96.1600,35
YGN-Main-Tower-11,YGN-SEC-B,16.8380,96.1600,155
YGN-Main-Tower-11,YGN-SEC-C,16.8380,96.1600,275
YGN-Main-Tower-12,YGN-SEC-A,16.8550,96.1350,5
YGN-Main-Tower-12,YGN-SEC-B,16.8550,96.1350,125
YGN-Main-Tower-12,YGN-SEC-C,16.8550,96.1350,245
YGN-Main-Tower-13,YGN-SEC-A,16.8680,96.1750,75
YGN-Main-Tower-13,YGN-SEC-B,16.8680,96.1750,195
YGN-Main-Tower-13,YGN-SEC-C,16.8680,96.1750,315
YGN-Main-Tower-14,YGN-SEC-A,16.8470,96.1420,20
YGN-Main-Tower-14,YGN-SEC-B,16.8470,96.1420,140
YGN-Main-Tower-14,YGN-SEC-C,16.8470,96.1420,260
YGN-Main-Tower-15,YGN-SEC-A,16.8760,96.1480,60
YGN-Main-Tower-15,YGN-SEC-B,16.8760,96.1480,180
YGN-Main-Tower-15,YGN-SEC-C,16.8760,96.1480,300
YGN-Main-Tower-16,YGN-SEC-A,16.8410,96.1820,40
YGN-Main-Tower-16,YGN-SEC-B,16.8410,96.1820,160
YGN-Main-Tower-16,YGN-SEC-C,16.8410,96.1820,280
YGN-Main-Tower-17,YGN-SEC-A,16.8640,96.1280,10
YGN-Main-Tower-17,YGN-SEC-B,16.8640,96.1280,130
YGN-Main-Tower-17,YGN-SEC-C,16.8640,96.1280,250
YGN-Main-Tower-18,YGN-SEC-A,16.8530,96.1680,55
YGN-Main-Tower-18,YGN-SEC-B,16.8530,96.1680,175
YGN-Main-Tower-18,YGN-SEC-C,16.8530,96.1680,295
YGN-Main-Tower-19,YGN-SEC-A,16.8700,96.1620,0
YGN-Main-Tower-19,YGN-SEC-B,16.8700,96.1620,120
YGN-Main-Tower-19,YGN-SEC-C,16.8700,96.1620,240
YGN-Main-Tower-20,YGN-SEC-A,16.8440,96.1370,85
YGN-Main-Tower-20,YGN-SEC-B,16.8440,96.1370,205
YGN-Main-Tower-20,YGN-SEC-C,16.8440,96.1370,325
