SiteName,Latitude,Longitude
YGN-Main-Tower-01,16.8667,96.1500
YGN-Main-Tower-02,16.8750,96.1650
YGN-Main-Tower-03,16.8500,96.1400
YGN-Main-Tower-04,16.8420,96.1700
YGN-Main-Tower-05,16.8580,96.1550
YGN-Main-Tower-06,16.8350,96.1450
YGN-Main-Tower-07,16.8720,96.1300
YGN-Main-Tower-08,16.8600,96.1800
YGN-Main-Tower-09,16.8450,96.1250
YGN-Main-Tower-10,16.8710,96.1550
YGN-Main-Tower-11,16.8380,96.1600
YGN-Main-Tower-12,16.8550,96.1350
YGN-Main-Tower-13,16.8680,96.1750
YGN-Main-Tower-14,16.8470,96.1420
YGN-Main-Tower-15,16.8760,96.1480
YGN-Main-Tower-16,16.8410,96.1820
YGN-Main-Tower-17,16.8640,96.1280
YGN-Main-Tower-18,16.8530,96.1680
YGN-Main-Tower-19,16.8700,96.1620
YGN-Main-Tower-20,16.8440,96.1370
YGN-RX-Site-01,16.8690,96.1520
YGN-RX-Site-02,16.8730,96.1580
YGN-RX-Site-03,16.8480,96.1380
YGN-RX-Site-04,16.8400,96.1670
YGN-RX-Site-05,16.8570,96.1530
YGN-RX-Site-06,16.8370,96.1430
YGN-RX-Site-07,16.8740,96.1320
YGN-RX-Site-08,16.8620,96.1780
YGN-RX-Site-09,16.8430,96.1270
YGN-RX-Site-10,16.8700,96.1530
YGN-RX-Site-11,16.8390,96.1580
YGN-RX-Site-12,16.8540,96.1330
YGN-RX-Site-13,16.8670,96.1730
YGN-RX-Site-14,16.8460,96.1410
YGN-RX-Site-15,16.8750,96.1470
YGN-RX-Site-16,16.8400,96.1800
YGN-RX-Site-17,16.8630,96.1270
YGN-RX-Site-18,16.8520,96.1660
YGN-RX-Site-19,16.8690,96.1610
YGN-RX-Site-20,16.8430,96.1360
